220 220 4 4
272 52 5 1
0 0 0 0
0 0 0 0
0 0 0 0
304 32 6 1
0 0 0 0
135 188 2 4
135 292 2 6
187 52 3 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
239 52 4 1
0 0 0 0
0 0 0 0
0 0 0 0
291 52 5 1
0 0 0 0
0 0 0 0
0 0 0 0
323 32 6 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
375 52 7 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
427 52 8 1
0 0 0 0
0 0 0 0
0 0 0 0
479 52 9 1
0 0 0 0
0 0 0 0
0 0 0 0
511 32 10 1
0 0 0 0
7427 1869 25 18
0 0 0 0
7479 52 26 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
419598 34066 339 327
1411959 93824 1066 1130
269716 125833 253 1366
140433 148346 144 1493
198063 178303 196 1701
255110 206856 245 1937
1042726 38922 870 475
1659971 48611 1324 298
431951 82365 346 478
1398610 38706 1025 546
1597442 24171 1185 121
429809 47886 346 444
609739 63465 352 695
828999 102884 602 1210
1591957 68196 1239 546
575924 148126 462 1025
501356 210720 422 1374
219275 264449 215 1616
583758 314789 477 2021
729484 34581 643 209
71906 63323 134 357
168469 20841 247 116
263589 18717 359 113
782976 43120 742 303
1398903 34412 1232 212
2634107 65058 2151 664
2661613 2068 2181 31
100389 17921 137 171
157559 45647 207 399
608335 33756 594 350
1466185 55887 1234 648
147942 74404 138 811
603230 125515 431 1177
1235965 153197 749 1460
1471840 18058 948 186
485507 40433 443 434
627247 19621 626 197
742128 37447 755 138
223079 60377 210 355
183236 87385 226 564
113725 93189 117 644
232668 5786 212 67
244866 2645 239 32
330679 19619 325 94
332431 1470 347 28
336740 4635 367 23
410518 9750 463 106
105634 20007 99 187
135287 8097 163 69
138215 2767 191 29
138671 456 200 9
1261661 42811 895 545
69357 46356 74 610
406518 17665 399 253
766111 24319 729 276
187648 38016 159 422
226647 56715 205 602
79783 68510 96 721
236270 82695 234 957
449104 19013 468 267
102604 29994 101 395
18948 39294 54 462
29572 49574 82 554
332747 16650 350 184
602033 63445 520 517
71452 75737 82 601
65907 92711 99 705
36867 105406 60 777
328814 21328 273 175
389706 18675 381 131
505375 24734 509 95
570978 19408 602 107
33473 31151 68 183
12708 44205 43 237
25365 15808 95 62
31478 5063 133 43
107983 13407 235 101
17348 29588 74 179
24356 34208 40 220
8932 40009 54 270
30009 9722 115 88
196100 11150 280 118
352175 17584 437 167
112925 39961 122 311
39381 59311 101 421
29410 70540 59 492
51632 76246 55 554
70990 3279 96 40
174781 19738 199 106
177224 15216 227 54
362795 8892 438 116
1393 10064 18 135
38298 7091 101 98
204349 29801 258 154
290466 16757 396 127
316676 16863 469 95
336873 17922 528 65
6504 22274 32 108
5704 27640 38 153
141633 15498 152 98
20984 28594 57 181
85072 49622 128 308
51096 69113 92 416
55179 5445 118 35
2437 8037 27 61
105226 22446 142 98
397100 33190 260 199
403709 18540 311 72
532056 14529 476 162
158161 30270 144 295
169519 9899 190 53
186459 7105 238 53
120385 27011 140 207
6698 32410 39 248
11202 5208 76 50
28196 13829 137 64
34845 2907 181 44
50434 19758 231 63
212209 42749 176 221
224740 7532 212 54
90248 16949 77 119
3575 22782 21 147
101249 35516 97 232
185144 51421 149 360
3335 54995 22 380
163846 62544 118 462
216112 81740 185 626
16113 84796 30 660
149257 14398 143 79
125537 26402 111 181
404757 22681 319 174
75968 35344 56 231
1653 36840 19 252
4949 3990 53 38
14337 2687 92 38
7956 3883 26 63
15775 3967 69 47
19844 2726 84 19
28467 2517 102 25
34901 5129 129 32
5673 10008 29 66
2517 13891 34 96
2893 324 42 7
3527 634 54 12
5525 8983 70 17
6843 1424 92 19
7864 970 111 18
8684 740 128 15
9276 592 140 12
68790 5534 205 63
70210 1615 233 29
116945 4484 277 45
117373 428 286 9
135311 7308 319 38
147665 12528 134 142
797 13190 15 155
2409 1612 46 31
68560 6263 104 58
69056 496 114 10
69412 963 122 9
146198 6551 185 62
146770 572 197 12
149648 1449 210 13
204110 11984 275 62
224200 9042 321 53
1142 10570 17 70
47040 7815 80 64
81459 5897 132 56
146368 8805 199 70
213111 10924 269 82
22288 18791 65 153
77692 7662 118 54
125504 6183 185 73
126128 624 199 14
127632 1462 231 32
128080 583 240 11
129992 1872 276 35
130352 400 284 9
130814 462 293 9
131544 877 307 17
131890 398 313 7
132662 2100 330 26
13138 8232 33 62
78806 4413 96 52
636 5713 12 68
903 6387 15 82
1760 930 30 17
101602 14258 130 100
127922 6843 173 46
481513 26415 435 247
502900 4788 480 63
225101 18553 181 252
246294 2586 209 32
293549 20023 292 91
813438 43277 579 412
818634 2466 595 24
902245 12505 703 112
902605 360 711 8
903260 676 722 12
903938 616 735 13
904142 256 739 5
904570 740 748 15
2250 7131 26 37
2654 404 34 8
3625 952 51 17
4541 916 69 18
5315 774 83 14
6127 812 99 16
9908 3561 121 24
518036 28088 487 314
551696 2332 522 36
558210 2756 550 31
566712 4879 576 32
156416 10112 130 125
157438 1074 152 23
157874 396 161 8
160988 5015 212 58
170127 2101 230 18
171875 2973 246 19
3469 12165 22 51
3821 1690 29 6
7226 1806 43 14
758 2564 15 29
52063 3345 67 51
197125 18386 202 163
241200 5999 246 45
6785 9798 29 83
11300 13836 39 127
26860 1413 65 29
27888 1124 83 21
58589 4334 121 43
59583 1150 139 21
60219 636 152 13
141336 8259 238 90
17373 29965 60 158
18220 754 74 14
19988 1820 108 35
20575 556 119 11
21222 771 132 17
21514 292 139 7
22187 1189 153 23
22738 480 162 10
24200 2946 196 57
24791 664 207 13
26410 2129 234 38
27357 916 252 18
27865 560 261 11
28578 1109 271 11
29418 997 287 20
696 1693 14 34
1586 1206 32 24
2222 636 45 13
6147 5556 74 36
41908 8758 49 85
42786 1058 70 25
42994 208 74 4
44731 2162 104 42
45067 216 112 5
46571 2039 138 39
46667 638 141 18
316 926 11 28
743 630 19 12
10737 15542 135 241
11049 312 141 6
11745 728 155 15
12349 636 167 13
12537 188 171 4
12849 344 177 7
13221 372 185 8
13645 384 194 8
14049 404 202 8
14393 376 209 8
26471 18684 417 304
26887 416 425 8
27407 572 435 11
27563 156 438 3
28031 468 447 9
28215 184 451 4
28475 260 456 5
28758 351 462 8
28862 104 464 2
30005 1295 483 24
33396 1091 488 9
279688 7278 649 131
583149 15527 908 256
327500 28682 210 389
579071 9384 394 151
895498 16595 627 213
945033 5598 677 50
1041448 12387 790 121
1246115 13588 953 168
1385459 12010 1076 119
1421987 5090 1116 43
1626193 8353 1265 104
1698804 12084 1356 101
44083 21135 50 156
347143 31169 381 348
474019 9450 486 117
909094 18447 810 288
970652 4884 864 62
1177467 11726 1009 148
1254136 3651 1071 54
42092 9700 48 114
280660 11592 223 149
371272 15459 315 117
412811 11493 373 83
12116 16034 22 122
135560 25240 106 235
229299 52703 248 577
83859 60853 78 674
47468 68660 62 753
53227 74409 53 818
258921 81398 188 921
510957 11596 376 118
966733 34681 745 406
1087318 3901 861 71
183161 31027 174 246
224548 2870 230 53
124812 15864 105 169
165430 19773 211 185
55883 27195 76 272
178456 12978 214 157
276481 6097 289 82
422979 12337 433 147
266691 32773 216 384
274300 2621 241 32
281658 3548 262 24
440522 10557 387 132
313204 21207 221 287
389417 16794 362 219
206416 28183 187 405
276157 7541 272 93
302659 7474 332 74
305177 3995 366 50
68938 14790 91 138
206648 18290 264 200
256022 13480 343 109
70632 20492 82 204
103255 28352 98 299
80816 35719 76 389
133074 46965 146 568
1643 48597 29 600
28621 51950 27 637
51978 58124 89 716
186915 66810 133 823
235550 70426 144 892
263546 4416 203 62
263978 372 212 8
264824 923 228 17
265344 468 238 9
271436 8559 314 132
1027 9463 20 150
2946 2357 51 39
156 2591 3 43
402 2927 8 51
1158 1295 23 23
766 1869 14 36
8229 1081 23 10
8449 220 28 5
8691 282 32 5
8951 260 37 5
14035 7207 99 112
14899 916 116 18
16767 2224 148 40
17131 364 155 7
17573 474 163 9
17769 196 167 4
18462 801 180 16
18826 364 187 7
194269 6215 330 71
262254 16781 418 92
297610 18629 532 168
325080 7954 571 40
394544 17081 643 75
546992 29632 797 133
554144 7305 820 23
578988 16397 872 62
597835 10145 903 37
2578 16998 20 59
22428 24365 74 48
43492 30346 52 108
1609 31262 15 126
5448 38592 71 239
520 38956 10 246
1500 1344 24 21
300 1670 6 27
526 2098 10 36
1130 824 22 15
1598 468 32 10
2658 1136 52 22
3555 1464 62 10
458160 43375 465 432
